,tabac,gum,year,num
24802,5.0,6.0,2002,6.0
24812,7.0,5.0,2002,51.0
24816,10.0,2.0,2002,3.0
24822,5.0,10.0,2002,10.0
24823,7.0,6.0,2002,51.0
24831,10.0,1.0,2002,9.0
24834,120.0,1.0,2002,51.0
24847,20.0,2.0,2002,14.0
24858,10.0,10.0,2002,4.0
24888,10.0,7.0,2002,14.0
24892,7.0,7.0,2002,55.0
24897,10.0,1.0,2002,5.0
24933,4.0,3.0,2002,5.0
24934,3.0,2.0,2002,6.0
24968,10.0,5.0,2002,5.0
24969,7.0,3.0,2002,6.0
25029,10.0,24.0,2002,4.0
25043,7.0,1.0,2002,8.0
25077,2.0,1.0,2002,4.0
25080,10.0,10.0,2002,7.0
25136,7.0,4.0,2002,5.0
25148,7.0,3.0,2002,4.0
25183,7.0,3.0,2002,51.0
25195,10.0,12.0,2002,11.0
25205,20.0,3.0,2002,8.0
25218,2.0,2.0,2002,12.0
25237,14.0,2.0,2002,2.0
25241,7.0,1.0,2002,7.0
25242,7.0,3.0,2002,9.0
25243,7.0,1.0,2002,10.0
25276,5.0,5.0,2002,6.0
25277,4.0,10.0,2002,8.0
25302,7.0,3.0,2002,51.0
25306,7.0,12.0,2002,4.0
25311,3.0,12.0,2002,9.0
25316,7.0,10.0,2002,3.0
25324,7.0,2.0,2002,11.0
25326,28.0,7.0,2002,13.0
25336,10.0,1.0,2002,10.0
25361,6.0,2.0,2002,8.0
25366,20.0,1.0,2002,51.0
25414,12.0,3.0,2002,8.0
25449,3.0,2.0,2002,52.0
25459,7.0,2.0,2002,51.0
25463,7.0,3.0,2002,55.0
25473,30.0,3.0,2002,10.0
25520,2.0,1.0,2002,1.0
25523,3.0,2.0,2002,5.0
25531,14.0,7.0,2002,14.0
25534,3.0,3.0,2002,54.0
25546,1.0,5.0,2002,2.0
25559,6.0,1.0,2002,8.0
25561,5.0,5.0,2002,10.0
25567,6.0,10.0,2002,51.0
25571,7.0,5.0,2002,1.0
25583,14.0,4.0,2002,2.0
25585,30.0,10.0,2002,5.0
25589,30.0,10.0,2002,9.0
25592,2.0,1.0,2002,12.0
25593,8.0,10.0,2002,52.0
25622,3.0,1.0,2002,52.0
25623,5.0,6.0,2002,53.0
25625,7.0,6.0,2002,1.0
25632,14.0,2.0,2002,10.0
25633,4.0,6.0,2002,11.0
25634,14.0,14.0,2002,12.0
25637,6.0,1.0,2002,52.0
25643,3.0,3.0,2002,7.0
25647,10.0,24.0,2002,11.0
25661,37.0,1.0,2002,52.0
25662,4.0,7.0,2002,53.0
25663,7.0,2.0,2002,54.0
25666,7.0,7.0,2002,1.0
25674,7.0,3.0,2002,15.0
25683,14.0,5.0,2002,9.0
25684,10.0,1.0,2002,10.0
25699,7.0,10.0,2002,1.0
25733,2.0,3.0,2002,5.0
25771,1.0,3.0,2002,8.0
25789,3.0,3.0,2002,51.0
25800,7.0,1.0,2002,51.0
